"year"	"category"	"n"
"2008"	"clothing, beauty, & fashion"	449
"2008"	"computers & internet"	2897
"2008"	"education"	447
"2008"	"food & drink"	744
"2008"	"grab bag"	606
"2008"	"health & fitness"	1063
"2008"	"home & garden"	769
"2008"	"human relations"	938
"2008"	"law & government"	511
"2008"	"media & arts"	1496
"2008"	"pets & animals"	263
"2008"	"religion & philosophy"	125
"2008"	"science & nature"	300
"2008"	"shopping"	383
"2008"	"society & culture"	444
"2008"	"sports, hobbies, & recreation"	595
"2008"	"technology"	916
"2008"	"travel & transportation"	1139
"2008"	"work & money"	1181
"2008"	"writing & language"	452
"2009"	"clothing, beauty, & fashion"	489
"2009"	"computers & internet"	2592
"2009"	"education"	521
"2009"	"food & drink"	844
"2009"	"grab bag"	580
"2009"	"health & fitness"	1207
"2009"	"home & garden"	897
"2009"	"human relations"	1140
"2009"	"law & government"	500
"2009"	"media & arts"	1577
"2009"	"pets & animals"	285
"2009"	"religion & philosophy"	119
"2009"	"science & nature"	294
"2009"	"shopping"	355
"2009"	"society & culture"	429
"2009"	"sports, hobbies, & recreation"	662
"2009"	"technology"	963
"2009"	"travel & transportation"	1206
"2009"	"work & money"	1353
"2009"	"writing & language"	466
"2010"	"clothing, beauty, & fashion"	410
"2010"	"computers & internet"	2046
"2010"	"education"	488
"2010"	"food & drink"	724
"2010"	"grab bag"	535
"2010"	"health & fitness"	1132
"2010"	"home & garden"	774
"2010"	"human relations"	1154
"2010"	"law & government"	420
"2010"	"media & arts"	1283
"2010"	"pets & animals"	251
"2010"	"religion & philosophy"	92
"2010"	"science & nature"	272
"2010"	"shopping"	337
"2010"	"society & culture"	386
"2010"	"sports, hobbies, & recreation"	532
"2010"	"technology"	783
"2010"	"travel & transportation"	1022
"2010"	"work & money"	1048
"2010"	"writing & language"	398
"2011"	"clothing, beauty, & fashion"	406
"2011"	"computers & internet"	1777
"2011"	"education"	426
"2011"	"food & drink"	689
"2011"	"grab bag"	491
"2011"	"health & fitness"	1110
"2011"	"home & garden"	769
"2011"	"human relations"	1184
"2011"	"law & government"	385
"2011"	"media & arts"	1279
"2011"	"pets & animals"	272
"2011"	"religion & philosophy"	90
"2011"	"science & nature"	249
"2011"	"shopping"	385
"2011"	"society & culture"	406
"2011"	"sports, hobbies, & recreation"	479
"2011"	"technology"	749
"2011"	"travel & transportation"	971
"2011"	"work & money"	1133
"2011"	"writing & language"	369
"2012"	"clothing, beauty, & fashion"	485
"2012"	"computers & internet"	1671
"2012"	"education"	448
"2012"	"food & drink"	645
"2012"	"grab bag"	510
"2012"	"health & fitness"	1167
"2012"	"home & garden"	791
"2012"	"human relations"	1466
"2012"	"law & government"	419
"2012"	"media & arts"	1247
"2012"	"pets & animals"	288
"2012"	"religion & philosophy"	84
"2012"	"science & nature"	250
"2012"	"shopping"	343
"2012"	"society & culture"	375
"2012"	"sports, hobbies, & recreation"	492
"2012"	"technology"	729
"2012"	"travel & transportation"	962
"2012"	"work & money"	1256
"2012"	"writing & language"	380
"2013"	"clothing, beauty, & fashion"	379
"2013"	"computers & internet"	1101
"2013"	"education"	306
"2013"	"food & drink"	498
"2013"	"grab bag"	394
"2013"	"health & fitness"	887
"2013"	"home & garden"	606
"2013"	"human relations"	1115
"2013"	"law & government"	276
"2013"	"media & arts"	952
"2013"	"pets & animals"	221
"2013"	"religion & philosophy"	53
"2013"	"science & nature"	177
"2013"	"shopping"	258
"2013"	"society & culture"	306
"2013"	"sports, hobbies, & recreation"	335
"2013"	"technology"	551
"2013"	"travel & transportation"	761
"2013"	"work & money"	913
"2013"	"writing & language"	296
"2014"	"clothing, beauty, & fashion"	327
"2014"	"computers & internet"	880
"2014"	"education"	270
"2014"	"food & drink"	435
"2014"	"grab bag"	334
"2014"	"health & fitness"	765
"2014"	"home & garden"	630
"2014"	"human relations"	907
"2014"	"law & government"	266
"2014"	"media & arts"	831
"2014"	"pets & animals"	173
"2014"	"religion & philosophy"	38
"2014"	"science & nature"	147
"2014"	"shopping"	229
"2014"	"society & culture"	261
"2014"	"sports, hobbies, & recreation"	322
"2014"	"technology"	418
"2014"	"travel & transportation"	700
"2014"	"work & money"	879
"2014"	"writing & language"	249
"2015"	"clothing, beauty, & fashion"	201
"2015"	"computers & internet"	500
"2015"	"education"	143
"2015"	"food & drink"	182
"2015"	"grab bag"	182
"2015"	"health & fitness"	421
"2015"	"home & garden"	316
"2015"	"human relations"	501
"2015"	"law & government"	138
"2015"	"media & arts"	425
"2015"	"pets & animals"	86
"2015"	"religion & philosophy"	22
"2015"	"science & nature"	71
"2015"	"shopping"	119
"2015"	"society & culture"	116
"2015"	"sports, hobbies, & recreation"	151
"2015"	"technology"	224
"2015"	"travel & transportation"	392
"2015"	"work & money"	473
"2015"	"writing & language"	96
